Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GDP	GDP	DFU	DFU	DRP	DRP	DG	DG	SSW	SSW	WGnD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																												
203	München-West	BY	173770	140479	2286	3554	138193	136925	56806	56536	0	0	59533	56938	13528	15219	3200	2884	4205	4322	921	918	0	108	0	0	0	0
204	München-Land	BY	169514	147123	3524	5132	143599	141991	39762	40155	0	0	83363	79990	11842	12780	5535	5938	2227	2337	597	609	273	182	0	0	0	0
205	Rosenheim	BY	146898	128109	3024	5588	125085	122521	37134	35660	0	0	69882	67788	8757	9451	6543	6775	1995	1976	774	788	0	83	0	0	0	0
206	Traunstein	BY	137638	118930	3594	5194	115336	113736	30110	28825	0	0	64318	64738	11553	11374	6741	6201	1949	1867	665	626	0	105	0	0	0	0
207	Weilheim	BY	137480	119124	2815	5176	116309	113948	32187	31686	0	0	67156	64168	9501	10364	5062	5283	1853	1926	550	450	0	71	0	0	0	0
208	Deggendorf	BY	115562	97486	3458	5745	94028	91741	22822	22089	0	0	59996	59558	6064	4511	4115	4485	761	791	270	266	0	41	0	0	0	0
209	Landshut	BY	124318	108982	4028	4972	104954	104010	28546	27090	0	0	63300	64458	4488	4934	5834	5273	1124	1206	886	654	776	395	0	0	0	0
210	Passau	BY	101412	89088	2501	3778	86587	85310	21254	19273	0	0	59107	59160	2238	2835	3444	3371	361	430	0	158	183	83	0	0	0	0
211	Pfarrkirchen	BY	93822	83854	2482	3663	81372	80191	13125	12804	0	0	60438	59223	3312	3299	4497	4394	0	291	0	146	0	34	0	0	0	0
212	Straubing	BY	110292	95391	3245	5878	92146	89513	20715	19521	0	0	61992	60162	3126	3549	4387	4319	880	947	1046	958	0	57	0	0	0	0
213	Vilshofen	BY	102683	90497	3424	4704	87073	85793	18885	17985	0	0	59361	59001	2864	2999	5401	4928	0	455	562	379	0	46	0	0	0	0
