Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
78	Rheydt – Grevenbroich II	NW	126526	108357	2627	2710	105730	105647	38384	37607	57319	56516	0	0	7436	8740	691	782	1538	1588	362	276	0	71	0	21	0	46	0	0
79	Mönchengladbach	NW	135419	114298	5632	2159	108666	112139	36738	37086	62942	63875	0	0	6665	8431	972	1099	1349	1390	0	87	0	88	0	34	0	49	0	0
80	Krefeld	NW	156957	134212	5016	1913	129196	132299	54045	53152	62043	62824	0	0	9498	12057	2106	2391	1356	1539	148	123	0	68	0	91	0	54	0	0
81	Kempen – Krefeld	NW	146859	130958	2878	2661	128080	128297	42415	42358	74721	73215	0	0	8548	9986	1092	1222	1025	1074	279	164	0	182	0	41	0	55	0	0
82	Moers	NW	186477	162782	2204	3045	160578	159737	89731	87600	60470	58510	0	0	7174	9913	1132	1244	1849	2037	222	222	0	53	0	96	0	62	0	0
83	Kleve	NW	151759	139259	4183	2645	135076	136614	35381	35413	92099	91502	0	0	6324	8255	631	660	493	493	148	120	0	87	0	26	0	58	0	0
84	Dinslaken	NW	153988	137239	2121	2731	135118	134508	61565	61236	63266	60537	0	0	8402	10499	816	875	1069	1157	0	32	0	72	0	47	0	53	0	0
85	Oberhausen	NW	174694	151197	3043	3006	148154	148191	77900	74881	62707	63133	0	0	5076	7136	671	756	1584	1792	216	212	0	124	0	92	0	65	0	0
86	Mülheim	NW	137576	118557	2511	1661	116046	116896	61010	60574	45002	42523	0	0	7413	10634	630	803	1621	1989	139	125	0	37	231	185	0	26	0	0
87	Essen I	NW	174438	147968	3797	1839	144171	146129	77770	78383	57769	56999	0	0	5402	7027	769	894	2061	2358	134	109	0	84	192	196	74	79	0	0
88	Essen II	NW	168908	142151	5068	1955	137083	140196	81693	83000	48038	48221	0	0	4285	5391	597	667	2275	2522	120	111	0	93	0	100	75	91	0	0
89	Essen III	NW	177580	153887	3911	1595	149976	152292	62684	64641	72814	69023	0	0	11188	14858	1004	1199	1675	1952	236	203	0	107	292	231	83	78	0	0
90	Duisburg I	NW	162984	137741	5188	1987	132553	135754	75334	77142	48840	48254	0	0	4636	6233	1032	1074	2499	2705	128	110	0	76	0	71	84	89	0	0
91	Duisburg II	NW	177694	151441	4302	1915	147139	149526	75689	75165	59277	58984	0	0	7937	10528	1304	1493	2623	2884	204	192	0	72	0	109	105	99	0	0
92	Ahaus – Bocholt	NW	153416	141759	3661	2760	138098	138999	32911	31781	98346	99193	0	0	5272	6064	855	778	714	723	0	52	0	334	0	22	0	52	0	0
93	Tecklenburg	NW	134906	120560	3135	2269	117425	118291	36525	36744	69529	68835	0	0	8467	9736	1316	1531	443	438	101	87	1044	835	0	40	0	45	0	0
94	Bekum  – Warendorf	NW	146038	133501	3573	2375	129928	131126	40688	41018	82235	81194	0	0	5276	6790	712	801	856	878	161	148	0	239	0	18	0	40	0	0
95	Münster	NW	140770	124945	3380	1446	121565	123499	39236	39136	69313	69628	0	0	10080	11385	1817	1996	851	814	268	226	0	251	0	26	0	37	0	0
