Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	BUERGERP	BUERGERP	C.B.V.	C.B.V.	DKP	DKP	GRUENE	GRUENE	E A P	E A P	K B W	K B W	NPD	NPD	V	V	D F P	D U	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																				
53	AACHEN	NW	158921	140310	1469	1218	138841	139092	63160	58223	63791	61183	0	0	8901	16727	0	115	0	0	217	235	2657	2370	0	12	64	54	0	142	51	31	0	0	0	0
54	KREIS AACHEN	NW	210218	190945	2040	1905	188905	189040	93185	91496	82144	79943	0	0	10773	15145	0	98	0	0	341	216	2403	1817	0	24	59	31	0	243	0	27	0	0	0	0
55	HEINSBERG	NW	151549	137358	1760	1555	135598	135803	47701	47375	79192	76592	0	0	6179	9913	0	60	0	0	187	117	2339	1580	0	17	0	11	0	116	0	22	0	0	0	0
56	DUEREN	NW	171832	155080	1867	1561	153213	153519	65383	63889	76799	74706	0	0	8692	12885	0	57	0	0	225	160	2058	1642	0	16	56	22	0	125	0	17	0	0	0	0
57	ERFTKREIS I	NW	201086	180699	2085	1476	178614	179223	94067	88346	71040	68449	0	0	10993	20094	0	80	0	0	277	188	2237	1824	0	28	0	11	0	177	0	26	0	0	0	0
58	EUSKIRCHEN - ERFTKREIS II	NW	200534	180686	2353	1994	178333	178692	67071	67997	88393	87987	0	0	19887	20273	0	75	0	0	293	199	2689	1957	0	28	0	10	0	146	0	20	0	0	0	0
59	KOELN I	NW	151890	127197	1379	1081	125818	126116	63539	60136	46647	45466	0	0	11729	17150	0	67	0	0	589	484	3195	2507	65	40	54	38	0	197	0	31	0	0	0	0
60	KOELN II	NW	155477	135532	1339	997	134193	134535	59011	53410	58908	56274	0	0	13017	22027	0	102	0	0	410	333	2770	2161	36	24	41	31	0	154	0	19	0	0	0	0
61	KOELN III	NW	186994	157482	2089	1454	155393	156028	80900	78915	57595	55486	0	0	12474	18170	0	107	0	0	515	422	3748	2478	87	50	74	50	0	316	0	34	0	0	0	0
62	KOELN IV	NW	175092	147785	2096	1402	145689	146383	78606	77450	51244	49265	0	0	11865	16820	0	62	0	0	559	381	3227	2096	60	29	43	30	0	218	85	32	0	0	0	0
63	BONN	NW	203432	181419	1683	1219	179736	180200	67351	60612	88681	87596	0	0	18619	28231	0	139	0	0	547	409	4322	2917	136	54	80	47	0	163	0	32	0	0	0	0
64	RHEIN-SIEG-KREIS I	NW	166509	149615	1731	1269	147884	148346	62999	59938	68928	66681	0	0	13257	19573	0	88	0	0	211	149	2489	1719	0	29	0	13	0	134	0	22	0	0	0	0
65	RHEIN-SIEG-KREIS II	NW	160799	145247	1744	1222	143503	144025	49088	46061	78157	75865	0	0	12993	19828	0	90	0	0	256	156	3009	1873	0	12	0	13	0	110	0	17	0	0	0	0
66	OBERBERGISCHER KREIS	NW	175537	157102	1461	1332	155641	155770	65396	64734	76460	69915	0	0	10916	18674	0	97	0	0	310	213	2521	1880	0	21	38	22	0	197	0	17	0	0	0	0
67	RHEINISCH-BERGISCHER KREIS I	NW	150217	135346	1382	993	133964	134353	54678	50595	64566	60585	0	0	11540	20750	0	111	0	0	258	191	2922	1943	0	21	0	12	0	136	0	9	0	0	0	0
68	LEVERKUSEN - RHEINISCH-BERGISCHER KREIS II	NW	146276	130521	1391	966	129130	129555	65932	61786	50585	48772	0	0	8940	16577	0	75	0	0	286	215	3261	1900	47	27	28	20	0	167	51	16	0	0	0	0
69	WUPPERTAL I	NW	146788	129604	969	847	128635	128757	58040	57905	48593	47931	0	0	19194	20425	171	140	0	0	500	414	2092	1676	0	14	45	14	0	215	0	23	0	0	0	0
70	WUPPERTAL II	NW	140110	123203	1079	875	122124	122328	62919	58014	45582	44071	0	0	11288	18178	0	151	0	0	499	385	1836	1335	0	10	0	7	0	163	0	14	0	0	0	0
71	SOLINGEN - REMSCHEID	NW	211822	184787	1580	1296	183207	183491	90713	85728	72205	69428	0	0	16264	24964	0	113	0	0	877	697	2579	2168	0	20	52	34	0	314	0	25	0	0	0	517
72	METTMANN I	NW	175789	157266	1476	1234	155790	156032	77023	67804	63646	61851	0	0	11910	23166	0	193	0	0	386	304	2779	2403	0	33	46	19	0	235	0	24	0	0	0	0
73	METTMANN II	NW	164542	146985	1231	1085	145754	145900	70458	68333	63237	56538	0	0	9216	18487	0	129	0	0	559	400	2284	1722	0	24	0	13	0	230	0	24	0	0	0	0
74	DUESSELDORF I	NW	233518	205115	1627	1322	203488	203793	86995	86337	89159	84217	0	0	22101	28812	0	138	0	0	751	680	4311	3208	73	41	32	25	0	285	66	50	0	0	0	0
75	DUESSELDORF II	NW	205029	178181	1788	1355	176393	176826	88635	86940	67853	65691	0	0	15744	20557	0	150	0	0	837	707	3222	2435	63	30	39	18	0	262	0	36	0	0	0	0
76	NEUSS I	NW	139543	123182	1121	858	122061	122324	53592	50683	57754	55575	0	0	8332	14002	0	76	0	0	278	206	2062	1550	0	15	43	23	0	176	0	18	0	0	0	0
77	NEUSS II	NW	148170	132571	1294	1002	131277	131569	53342	50818	63922	61926	0	0	11603	16804	0	97	0	0	233	158	2177	1553	0	21	0	12	0	164	0	16	0	0	0	0
78	MOENCHENGLADBACH	NW	189289	159321	1807	1455	157514	157866	63489	63282	76494	74787	0	0	14125	17216	0	142	0	0	463	311	2892	1904	0	26	51	25	0	166	0	7	0	0	0	0
79	KREFELD	NW	169471	146864	1442	1078	145422	145786	68203	66732	64820	58511	0	0	9684	18055	0	105	0	0	338	273	2232	1806	0	17	29	19	0	228	116	40	0	0	0	0
80	VIERSEN	NW	189518	166539	1815	1469	164724	165070	67532	64149	81432	79662	0	0	12160	18522	270	225	0	0	323	208	2974	2079	0	13	33	21	0	173	0	18	0	0	0	0
81	KLEVE	NW	178387	160166	1823	1565	158343	158601	57966	56310	87947	85893	0	0	8935	13662	0	90	0	0	163	107	3332	2382	0	20	0	16	0	102	0	19	0	0	0	0
82	WESEL I	NW	154356	137506	1241	1080	136265	136426	72843	67802	51549	49995	0	0	9154	16462	0	84	0	0	330	226	2389	1671	0	23	0	20	0	123	0	20	0	0	0	0
83	WESEL II	NW	150550	134723	1204	1070	133519	133653	79101	74192	44327	43322	0	0	7764	13957	0	89	0	0	258	184	1955	1628	53	39	0	20	0	183	61	39	0	0	0	0
