Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	DKP	DKP	EFP	EFP	FSU	FSU	NPD	NPD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																									
73	Düsseldorf – Mettmann II	NW	145190	134647	1133	799	133514	133848	71469	65389	55338	53298	0	0	5593	13916	512	506	114	87	0	60	488	592	0
74	Düsseldorf I	NW	143890	131669	1133	728	130536	130941	55824	56361	57361	56882	0	0	16473	16607	468	493	0	92	0	27	410	479	0
75	Düsseldorf II	NW	151743	135994	1673	885	134321	135109	77432	73192	47622	47499	0	0	7855	12985	858	765	0	65	0	27	554	576	0
76	Düsseldorf III	NW	163984	148080	1872	959	146208	147121	77332	72510	58354	57744	0	0	9214	15479	765	686	0	85	0	23	543	594	0
77	Neuss – Grevenbroich I	NW	197697	182025	1644	1107	180381	180918	82932	77229	87051	86268	0	0	9172	16178	602	465	0	88	0	33	624	657	0
78	Rheydt – Grevenbroich II	NW	137019	123416	1538	946	121878	122470	58026	56799	55873	56062	0	0	7189	8817	403	302	0	53	0	18	387	419	0
79	Mönchengladbach	NW	164439	146049	1953	1116	144096	144933	62999	62137	73628	73136	0	0	6428	8618	569	445	0	74	0	25	472	498	0
80	Krefeld	NW	161132	144917	1554	1062	143363	143855	74378	70283	60841	58974	0	0	7230	13550	388	390	0	61	0	14	526	583	0
81	Kempen – Krefeld	NW	121325	110535	1436	803	109099	109732	47473	45574	56025	55733	0	0	4887	7689	341	242	0	57	0	24	373	413	0
82	Moers	NW	204175	187666	2517	1187	185149	186479	124430	118793	52321	52962	0	0	6709	13119	895	724	0	51	0	36	794	794	0
83	Kleve	NW	168594	155988	2075	1289	153913	154699	57746	56052	90277	90360	0	0	5161	7529	278	188	0	71	0	23	451	476	0
84	Dinslaken	NW	179267	165176	1482	1104	163694	164072	97564	91875	58543	57955	0	0	6582	13248	588	468	0	53	0	12	417	461	0
85	Oberhausen	NW	175763	160115	2197	918	157918	159197	98458	97310	51949	51349	0	0	6296	9407	813	625	0	48	0	38	402	420	0
86	Mülheim	NW	142374	131474	1249	618	130225	130856	82072	77300	40876	40380	0	0	6169	12228	806	542	0	30	0	49	302	327	0
87	Essen I	NW	172340	155426	2044	837	153382	154589	97892	95894	48227	48089	0	0	5865	9348	1057	804	0	44	0	52	341	358	0
88	Essen II	NW	165580	148131	2317	927	145814	147204	101587	99705	38387	38657	0	0	4363	7541	1120	849	0	47	0	32	357	373	0
89	Essen III	NW	179689	166277	1750	789	164527	165488	87285	79879	67541	67280	0	0	8581	17177	823	650	0	66	0	65	297	371	0
90	Duisburg I	NW	150115	134855	2113	819	132742	134036	92956	92064	34133	34141	0	0	4488	6747	804	628	0	41	0	27	361	388	0
91	Duisburg II	NW	169216	155361	1798	802	153563	154559	96135	92386	50046	49698	0	0	5993	11263	1010	703	0	51	0	45	379	413	0
92	Ahaus – Bocholt	NW	171498	160695	1686	1128	159009	159567	53277	50704	101804	102087	0	0	3220	6057	363	238	0	58	0	21	345	402	0
93	Tecklenburg	NW	155156	144274	1873	1026	142401	143248	63777	61499	71482	70343	0	0	6760	10742	382	252	0	57	0	22	0	333	0
94	Beckum – Warendorf	NW	160573	150064	1853	921	148211	149143	61209	62434	79084	77880	0	0	6989	7979	626	461	0	51	0	12	303	326	0
95	Münster	NW	150471	140462	1543	722	138919	139740	61453	57208	67199	66762	0	0	9477	14900	439	397	0	73	0	19	351	381	0
96	Steinfurt – Coesfeld	NW	186124	174319	1533	1164	172786	173155	65896	63861	101906	100629	0	0	4262	7996	362	229	0	59	0	29	360	352	0
97	Gelsenkirchen I	NW	124724	112944	1714	696	111230	112248	73585	73315	32640	32341	0	0	3824	5478	1181	681	0	55	0	76	0	302	0
98	Gelsenkirchen II	NW	125767	113443	1691	727	111752	112716	74258	73994	32280	32019	0	0	3791	5613	1059	651	0	37	0	32	364	370	0
99	Recklinghausen-Land	NW	177741	165287	1323	912	163964	164375	95573	90867	62706	62466	0	0	4314	9666	807	664	0	48	0	36	564	628	0
100	Recklinghausen-Stadt	NW	165609	153962	2059	957	151903	153005	90674	87730	54636	55027	0	0	5345	9090	787	620	0	36	0	34	461	468	0
101	Bottrop – Gladbeck	NW	137304	127351	1286	802	126065	126549	81549	80080	39162	39195	0	0	3196	5862	1812	978	0	49	0	20	346	365	0
102	Höxter	NW	141315	131971	2198	874	129773	131097	38959	38552	86895	87092	0	0	3510	4852	409	206	0	67	0	22	0	306	0
103	Bielefeld-Land	NW	219300	202692	1953	1298	200739	201394	105247	98563	82702	82334	0	0	11277	18926	570	449	0	143	0	59	943	920	0
104	Bielefeld-Stadt	NW	122209	113278	1437	758	111841	112520	59711	57319	43084	43037	0	0	8072	11232	586	408	0	53	0	26	388	445	0
105	Detmold-Lippe	NW	220057	203088	3131	1510	199957	201578	107820	103837	77030	75776	0	0	13148	20286	654	483	0	79	296	137	1009	980	0
106	Paderborn – Wiedenbrück	NW	158267	147339	1144	848	146195	146491	46043	44949	93488	93066	0	0	5989	7733	279	195	0	68	0	39	396	441	0
107	Herford	NW	180582	167404	2908	1658	164496	165746	94263	90057	60829	60778	0	0	8216	13644	477	386	0	47	0	67	711	767	0
108	Minden	NW	213342	194707	3302	1595	191405	193112	101146	98893	74180	75122	0	0	14434	17536	729	527	0	84	0	38	916	912	0
109	Lüdinghausen	NW	214004	198071	2672	1276	195399	196795	98933	97841	90473	87952	0	0	4772	9630	637	598	0	75	0	51	584	648	0
110	Wanne-Eickel – Wattenscheid	NW	130438	119633	1441	739	118192	118894	79537	76863	34263	34807	0	0	3202	6187	879	657	0	37	0	15	311	328	0
111	Herne – Castrop-Rauxel	NW	136084	125198	1595	737	123603	124461	81595	79350	37975	37993	0	0	3154	6084	879	695	0	41	0	11	0	287	0
112	Ennepe-Ruhr-Kreis	NW	192319	178820	1521	1028	177299	177792	106005	100998	60381	59731	0	0	9022	15407	1028	754	184	131	0	51	679	720	0
113	Hagen	NW	143327	130678	1286	835	129392	129843	65136	72534	46515	45772	0	0	15876	10169	1073	590	189	117	0	29	603	632	0
