Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CDU	CSU	FDP	FDP	GRÜNE	GRÜNE	ASD	ASD	B P	B P	C.B.V.	C.B.V.	ZENTRUM	ZENTRUM	MUENDIGE	MUENDIGE	FRAUEN	FRAUEN	FAP	FAP	MLPD	MLPD	NPD	NPD	OE D P	OE D P	PATRIOTEN	PATRIOTEN	FAMILIE	SOLIDARITAET	F S U	H P	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																														
21	FRIESLAND – WILHELMSHAVEN	NI	155533	126306	1369	1149	124937	125157	60118	58282	49839	45981	0	0	5004	10403	8455	9364	304	0	0	0	0	0	0	0	0	114	0	0	0	0	0	81	733	697	0	179	0	56	0	0	0	0	0	484
22	OLDENBURG – AMMERLAND	NI	216970	177986	1858	1317	176128	176669	79351	77447	62566	58344	0	0	15785	20737	15543	18850	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	50	819	784	0	241	0	62	0	0	0	0	0	2064
23	DELMENHORST – WESERMARSCH – OLDENBURG-LAND	NI	204736	169718	1674	1277	168044	168441	81948	77608	61110	57930	0	0	11569	17882	12047	13819	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	46	822	740	0	195	0	80	0	0	0	0	0	548
24	CUXHAVEN	NI	152177	127581	1158	970	126423	126611	53151	52519	58508	52203	0	0	4551	11126	8897	9846	288	0	0	0	0	0	0	0	0	92	0	0	0	0	0	22	567	559	0	172	93	72	0	0	0	0	0	368
25	STADE – ROTENBURG I	NI	188735	158342	1414	1198	156928	157144	63821	60033	76183	69254	0	0	5812	14960	9461	11570	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	26	955	867	0	194	153	129	0	0	0	0	0	543
26	MITTELEMS	NI	193027	168496	1419	1199	167077	167297	59345	54679	91618	88309	0	0	5693	13866	8757	9565	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	24	462	405	0	259	0	71	0	0	0	0	0	1202
27	CLOPPENBURG – VECHTA	NI	159622	138266	1824	1350	136442	136916	28447	28282	95519	90355	0	0	4904	10695	6673	6888	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	22	329	310	0	203	115	79	0	0	0	0	0	455
28	DIEPHOLZ	NI	147321	123339	1015	842	122324	122497	49902	47396	54212	49071	0	0	8555	15556	8743	9588	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	26	510	514	0	178	0	75	0	0	0	0	0	402
29	VERDEN – OSTERHOLZ	NI	163810	140171	1101	867	139070	139304	64474	58686	55966	51809	0	0	6150	13304	10658	14564	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	39	559	542	0	170	109	88	0	0	0	0	0	1154
30	SOLTAU-FALLINGBOSTEL – ROTENBURG II	NI	146058	122482	1158	862	121324	121620	46203	43816	59731	56003	0	0	5798	11389	8049	8898	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	25	1132	988	0	355	0	55	0	0	0	0	0	411
31	LUENEBURG – LUECHOW-DANNENBERG	NI	144089	120836	992	705	119844	120131	46567	44853	55220	50327	0	0	6355	12037	10080	11670	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	35	968	808	0	205	0	78	0	0	0	0	0	654
32	OSNABRUECK-LAND	NI	161147	139517	1459	1124	138058	138393	54217	51966	68229	62880	0	0	6422	13509	8076	9100	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	24	560	495	0	207	238	129	0	0	0	0	0	316
33	STADT OSNABRUECK	NI	182085	155936	1261	1087	154675	154849	65607	61988	70815	65360	0	0	5829	13100	10979	13369	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	38	647	580	0	213	132	92	0	0	0	0	0	666
34	NIENBURG – SCHAUMBURG	NI	210111	177509	1355	1204	176154	176305	80871	77359	78820	71416	0	0	5944	14555	9274	11479	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	43	907	909	0	314	0	98	0	0	0	0	0	338
35	HARBURG	NI	149843	129870	1015	709	128855	129161	45450	43335	64796	57454	0	0	7868	16865	9291	10440	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	25	618	566	0	223	246	131	0	0	0	0	0	586
36	STADT HANNOVER I	NI	188863	156576	1495	993	155081	155583	71478	67983	60410	56559	0	0	8929	14366	13207	15479	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	54	0	658	0	230	291	124	0	0	0	130	0	636
37	STADT HANNOVER II	NI	192338	159303	1566	937	157737	158366	73099	68270	60872	56038	0	0	8392	14890	14264	17955	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	111	0	632	0	229	274	114	0	0	0	0	0	836
38	HANNOVER-LAND I	NI	226913	193810	1971	1318	191839	192492	83606	79189	86232	78933	0	0	8969	19410	11415	13472	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	51	794	809	472	421	133	86	0	0	0	0	0	218
39	CELLE – UELZEN	NI	206082	175451	1519	1192	173932	174259	68809	63809	85906	80437	0	0	9040	17226	8350	10543	0	0	0	0	0	0	0	0	0	185	0	0	185	0	0	46	1387	1319	0	592	0	102	0	0	0	0	0	255
40	GIFHORN – PEINE	NI	195016	169300	1551	1108	167749	168192	75556	73541	76849	71403	0	0	5744	12457	8145	9372	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	37	1063	968	0	196	0	89	0	0	0	0	0	392
41	HAMELN-PYRMONT – HOLZMINDEN	NI	190529	165555	1430	1163	164125	164392	78641	75229	67329	63733	0	0	7554	13879	9330	10242	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	34	872	860	0	203	0	80	0	0	0	0	0	399
42	HANNOVER-LAND II	NI	204887	178320	1780	1256	176540	177064	79610	76737	76232	69969	0	0	7764	16348	11177	12554	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	25	759	684	433	515	165	133	0	0	0	0	0	400
43	HILDESHEIM	NI	221347	193410	1576	1450	191834	191960	94000	87975	80429	76677	0	0	6086	13997	9844	11926	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	28	815	806	0	288	148	133	0	0	0	0	0	512
44	SALZGITTER – WOLFENBUETTEL	NI	179009	153840	1232	1138	152608	152702	75155	71388	66154	63242	0	0	3718	9207	6478	7764	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	37	747	732	0	161	127	107	0	0	0	0	0	229
