Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	CSU	CSU	SPD	SPD	FDP	FDP	GRÜNE	GRÜNE	PDS	PDS	DSU	DSU	B90/Gr	B90/Gr	BP	BP	DDD	DDD	BSA	BSA	LIGA	LIGA	CM	CM	ÖKO-Union	ÖKO-Union	DIE GRAUEN	DIE GRAUEN	Mündige	Mündige	REP	REP	Frauen	Frauen	KPD	KPD	NPD	NPD	ÖDP	ÖDP	Patrioten	Patrioten	SpAD	SpAD	VAA	VAA	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																																										
283	Altmark	ST	186841	134912	2791	2093	132121	132819	51376	51466	0	0	39523	37948	16438	19882	0	0	13333	12686	869	442	10582	7771	0	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	1384	0	0	0	0	0	331	0	198	0	0	0	45	0	0	0	0
284	Elbe-Havel-Gebiet und Haldensleben – Wolmirstedt	ST	169597	120649	2384	1926	118265	118723	51242	48593	0	0	32225	32658	14810	18185	0	0	11158	10122	933	513	7897	6314	0	0	0	0	0	0	0	0	0	0	0	0	0	651	0	0	0	1187	0	0	0	0	0	260	0	201	0	0	0	39	0	0	0	0
285	Harz und Vorharzgebiet	ST	177838	130574	2274	1838	128300	128736	56044	54977	0	0	36274	32644	16468	21097	0	0	10812	10547	914	462	7788	6762	0	0	0	0	0	0	0	0	0	0	0	0	0	717	0	0	0	1112	0	0	0	0	0	216	0	165	0	0	0	37	0	0	0	0
286	Magdeburg	ST	171335	119675	1376	1197	118299	118478	40870	40216	0	0	33642	34892	11522	15100	0	0	18454	16077	621	315	10380	9148	0	0	0	0	0	0	0	0	0	0	0	0	2340	1334	0	0	0	979	0	0	0	0	0	249	0	141	0	0	0	27	0	0	0	470
287	Magdeburg – Schönebeck – Wanzleben – Staßfurt	ST	195789	139860	2641	2186	137219	137674	57382	55627	0	0	39385	39488	15102	19185	0	0	14653	13458	1396	597	8836	6806	0	0	0	0	0	0	0	0	0	0	0	0	0	841	0	0	0	1249	0	0	0	0	0	207	0	181	0	0	0	35	0	0	0	465
288	Wittenberg – Gräfenhainichen – Jessen – Roßlau – Zerbst	ST	179401	132795	2721	2147	130074	130648	53513	51311	0	0	33364	33018	22460	25589	0	0	10727	10313	1167	734	8843	6818	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	0	0	1596	0	0	0	0	0	296	0	263	0	0	0	39	0	0	0	0
289	Dessau – Bitterfeld	ST	171062	124085	1873	1618	122212	122467	44622	46565	0	0	27651	28157	28054	27588	0	0	11074	10841	3080	981	7731	6131	0	0	0	0	0	0	0	0	0	0	0	0	0	676	0	0	0	1183	0	0	0	0	0	159	0	154	0	0	0	32	0	0	0	0
290	Bernburg – Aschersleben – Quedlinburg	ST	174792	126241	2390	2048	123851	124193	53301	52727	0	0	30633	29010	21712	24819	0	0	9639	9407	922	529	6681	5397	0	0	0	0	0	0	0	0	0	0	0	0	963	744	0	0	0	1228	0	0	0	0	0	159	0	126	0	0	0	47	0	0	0	0
291	Halle-Altstadt	ST	169624	118046	1874	1641	116172	116405	27150	28134	0	0	23944	22981	40096	40297	0	0	14536	14554	557	295	9889	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	741	0	0	0	696	0	0	0	0	0	148	0	106	0	0	0	53	0	0	0	0
292	Halle-Neustadt – Saalkreis – Köthen	ST	178897	127868	2373	1873	125495	125995	43799	42578	0	0	27795	27632	29799	33350	0	0	14227	13321	949	468	8926	6517	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	1171	0	0	0	0	0	176	0	155	0	0	0	43	0	0	0	0
