Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	ADF	ADF	BP	BP	EP	EP	GPD	FSU	FSU	ZENTRUM	UAP	UAP	DV	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																
95	Münster	NW	142075	126868	2884	995	123984	125873	51917	51789	61318	61346	0	0	7411	7911	2906	3630	432	370	0	0	0	186	38	0	45	508	0	50	0	0
96	Steinfurt – Coesfeld	NW	168700	154053	3572	2387	150481	151666	47382	47751	95767	94204	0	0	4523	5186	2168	2785	641	348	0	0	0	94	48	0	28	1147	0	75	0	0
97	Gelsenkirchen I	NW	121865	103634	3659	1273	99975	102361	58899	59133	34386	35116	0	0	2761	3569	2354	2730	1348	1302	0	0	0	69	48	227	202	138	0	54	0	0
98	Gelsenkirchen II	NW	123202	104828	3525	1244	101303	103584	60782	61379	34003	34290	0	0	2686	3513	2506	2838	1204	1152	0	0	0	72	91	122	99	89	0	61	0	0
99	Recklinghausen-Land	NW	160756	143119	2433	1913	140686	141206	72086	70205	60346	59635	0	0	3823	5200	3157	3975	1274	1294	0	0	0	126	58	0	62	568	0	83	0	0
100	Recklinghausen-Stadt	NW	153392	137430	3052	1840	134378	135590	71864	70908	53736	53784	0	0	4535	5587	3101	3723	1008	1009	0	0	0	108	44	134	110	266	0	51	0	0
101	Bottrop – Gladbeck	NW	130190	114972	3158	1811	111814	113161	63924	63079	41833	42200	0	0	2464	3483	1994	2456	1599	1531	0	0	0	99	46	0	72	114	0	81	0	0
102	Höxter	NW	129323	116366	5076	1870	111290	114496	29184	29443	75083	76551	0	0	3732	3842	2922	3651	369	201	0	0	0	76	46	0	40	604	0	42	0	0
103	Bielefeld-Land	NW	180483	162326	3482	2405	158844	159921	79077	77339	63705	63328	0	0	9013	11341	6165	6810	618	613	0	0	0	144	62	266	184	43	0	57	0	0
104	Bielefeld-Stadt	NW	121942	108458	2592	1215	105866	107243	55230	53911	40229	40177	0	0	5690	7640	3854	4425	628	687	0	0	0	104	20	235	190	60	0	29	0	0
105	Detmold – Lippe	NW	212842	188598	5868	2849	182730	185749	91449	90095	67508	68278	0	0	13183	15727	9041	10115	676	660	0	0	0	161	92	873	440	68	0	113	0	0
106	Paderborn – Wiedenbrück	NW	162812	146419	2911	2615	143508	143804	39327	39935	95810	93686	0	0	4835	5449	3210	3879	326	264	0	0	0	110	22	0	32	377	0	50	0	0
107	Herford	NW	161389	142871	3171	2751	139700	140120	73303	73257	54429	52112	0	0	6283	7434	5066	6365	619	602	0	0	0	87	84	0	109	13	0	57	0	0
108	Minden	NW	200319	173957	6073	3075	167884	170882	81051	80423	66335	67386	0	0	12167	13047	7455	8910	876	727	0	0	0	126	43	0	80	42	0	98	0	0
109	Lüdinghausen	NW	198486	177655	4334	2988	173321	174667	74093	75672	89956	86260	0	0	4090	6199	4059	4952	965	991	0	0	0	120	58	158	131	222	0	62	0	0
110	Wanne-Eickel – Wattenscheid	NW	125759	109565	2894	1663	106671	107902	64639	63884	35569	35933	0	0	2851	3804	2315	2742	1297	1243	0	0	0	81	38	0	38	68	0	71	0	0
111	Herne – Castrop-Rauxel	NW	131214	116121	2515	2374	113606	113747	65568	65044	41107	40405	0	0	2964	3886	2234	2634	1733	1562	0	0	0	57	43	0	23	61	0	32	0	0
112	Ennepe-Ruhr-Kreis	NW	187913	167665	2896	2020	164769	165645	92283	90503	57807	57268	0	0	8115	10292	4714	5368	1444	1552	0	0	238	260	61	0	86	83	168	172	0	0
113	Hagen	NW	139253	119907	1907	2122	118000	117785	61638	61615	43714	42910	0	0	7484	7307	3647	4240	1401	1396	0	0	0	61	51	116	105	54	0	46	0	0
114	Dortmund I	NW	162320	144965	3509	1538	141456	143427	85116	80656	46998	48791	0	0	4883	8433	3281	3961	1034	1112	0	0	0	163	39	144	130	69	0	73	0	0
115	Dortmund II	NW	136982	118355	4235	1481	114120	116874	71870	72349	35140	35970	0	0	3206	3837	2679	3118	1225	1193	0	0	0	111	71	0	75	74	0	76	0	0
116	Dortmund III	NW	155041	132855	3900	1554	128955	131301	77021	76868	42712	43094	0	0	4019	5445	3927	4364	1050	1074	0	0	0	108	53	226	143	81	0	71	0	0
117	Bochum	NW	150579	132677	2919	1796	129758	130881	76645	74171	44656	45499	0	0	4145	5993	3229	3817	957	945	0	0	0	137	30	0	91	79	126	119	0	0
118	Bochum – Witten	NW	163391	144519	3410	1966	141109	142553	87051	86345	44272	44468	0	0	4931	6146	3814	4278	887	886	0	0	0	103	35	0	76	83	154	133	0	0
119	Iserlohn	NW	174883	154531	2923	2045	151608	152486	73501	72327	67033	64800	0	0	5754	8617	4420	5501	673	648	0	0	0	136	40	227	175	180	0	62	0	0
120	Lippstadt – Brilon	NW	114412	102321	2589	1700	99732	100621	35424	35973	57750	56494	0	0	3842	4131	2454	3083	262	222	0	0	0	68	44	0	24	540	0	42	0	0
121	Olpe – Meschede	NW	117323	106571	2661	1586	103910	104985	31984	31932	66808	67088	0	0	3110	3367	1707	2054	301	254	0	0	0	63	16	0	13	169	0	29	0	0
122	Arnsberg – Soest	NW	163911	146119	2528	2214	143591	143905	55011	54875	77851	75464	0	0	6446	7498	3925	4644	358	293	0	0	0	99	221	0	52	687	0	72	0	0
123	Unna	NW	148636	134122	3861	1975	130261	132147	74721	73168	44741	45971	0	0	4894	6285	4840	5454	1065	945	0	0	0	81	42	0	43	82	0	76	0	0
124	Altena – Lüdenscheid	NW	159595	136230	3128	1507	133102	134723	65444	66463	52886	51494	0	0	9574	10044	4452	5683	746	654	0	0	0	97	46	0	109	73	0	60	0	0
125	Siegen – Wittgenstein	NW	181981	157350	2462	2050	154888	155300	77044	74307	66185	63194	0	0	6278	10095	4665	6632	716	610	0	0	0	151	71	0	62	95	0	83	0	0
905	Nordrhein-Westfalen	NW	11259648	9827911	236654	140798	9591257	9687113	4575554	4534471	4253791	4222914	0	0	412187	526861	243769	295972	66426	64824	0	0	2135	10588	4325	5409	6735	15114	1395	5309	461	30130
																																
126	Waldeck	HE	131518	114950	3192	2020	111758	112930	55948	54220	39065	39383	0	0	8952	9490	7193	7882	600	603	0	0	0	134	1218	0	0	0	0	0	0	0
127	Kassel	HE	176154	155239	2241	2686	152998	152553	87097	84052	48429	48753	0	0	10029	11187	5686	6377	1757	1636	0	0	0	301	247	0	0	0	0	0	0	0
